ids,start_time,days,mean,max,min,depth
83201,2008-03-25 14:59:00+00:00,22,0.50,2.00,0.25,-1.0
85301,2008-05-20 21:36:00+00:00,118,0.51,2.35,0.02,-1.0
85302,2008-05-20 21:42:00+00:00,59,0.51,2.50,0.02,-1.0
85303,2008-05-29 20:56:00+00:00,12,0.52,2.63,0.10,-1.0
87091,2008-07-30 21:59:00+00:00,29,0.42,1.50,0.02,-1.0
88202,2008-08-20 23:02:00+00:00,13,1.03,2.32,0.53,-1.0
90111,2010-11-12 16:08:00+00:00,30,1.02,2.12,0.73,-1.0
91201,2009-01-03 19:59:00+00:00,13,0.50,1.00,0.25,-1.0
91201,2009-01-18 13:29:00+00:00,15,0.50,0.50,0.50,-1.0
94201,2009-04-28 22:14:00+00:00,30,0.50,1.00,0.25,-1.0
94303,2009-04-09 20:31:00+00:00,21,0.69,2.90,0.07,-1.0
94303,2009-06-22 06:57:00+00:00,10,0.71,2.67,0.22,-1.0
94491,2009-04-27 23:58:00+00:00,175,1.00,2.27,0.55,-1.0
95271,2009-05-29 19:29:00+00:00,29,0.50,2.00,0.25,-1.0
95481,2009-05-26 13:59:00+00:00,20,0.51,2.50,0.25,-1.0
95481,2009-06-17 02:59:00+00:00,17,0.50,1.00,0.50,-1.0
96011,2009-06-26 19:44:00+00:00,30,0.50,1.00,0.25,-1.0
96101,2009-06-04 19:25:00+00:00,14,1.00,1.32,0.67,-1.0
96101,2009-06-19 11:31:00+00:00,76,1.00,2.13,0.45,-1.0
97104,2009-07-11 03:04:00+00:00,16,1.02,2.15,0.57,-1.0
97115,2009-07-09 21:40:00+00:00,69,1.02,2.28,0.52,-1.0
97115,2009-10-02 04:35:00+00:00,11,1.03,2.25,0.53,-1.0
97201,2009-07-09 02:26:00+00:00,30,1.02,2.50,0.37,-1.0
98101,2009-08-07 17:55:00+00:00,15,1.02,2.97,0.48,-1.0
98102,2009-08-07 18:04:00+00:00,13,1.00,1.40,0.62,-1.0
98104,2009-08-07 20:18:00+00:00,17,1.01,2.10,0.52,-1.0
99271,2009-09-11 22:14:00+00:00,30,0.50,1.50,0.25,-1.0
